Q,K1,K2,K3,K4,A
テニスで、勝負を決定づけるショットを何という ?,ウイニングショット,ランニングショット,カンニングショット,ハプニングショット,ウイニングショット
次の『ウルトラマン』シリーズのうち、下成になってから放送された作ロロはとれ?,ウルトラセブン,ウルトラマンメビウス,ウルトラマンタロワウ,ウルトラマン80,ウルトラマンメビウス
C02とは何のこと ?,炭化二酸素,二酸化炭素,二炭化酸素,酸化二炭素,二酸化炭素
次のうち、ラケットを使わないスポーツはどれ ?,スカッシュ,バレーボール,テニス,卓球,バレーボール
昆虫などの節足動物の頭部にある感覚問到を何という ?,触角,触王,触飛,触桂,触角
アナウンサーの弘子、淳、智昭に共通する名字は何?_,高島,清川,八木,小倉,小倉
中央アジアを横断した交易路「シルクロード」の「シルク」が指す貿易品は何 ?,胡概,大,絹,仏典,絹
バパバレーボールの番者のうち、台の上に座っているのは次のうちどれ2?,主審,記録員,線番,副衝,主審
お寿司の「バッテラ」に欠かせない魚は何 ?               -,タイ,マグロ,ヒラメ,サバ,サバ
次のうち、昆虫の体を形成する三構造に含まれない部分はどれ ?,とレ|,頭,腹,胸,とレ|
菅原文太が主演した深作大二監督の映画シリーズ『〇〇なき戦い」。〇)つつは何 ?,勝利,仁義,自由,明日,仁義
赤ずさんの胡母は何に食べられた?,おおかみ,くま,トラ,ライオン,おおかみ
「官僚」といえば、普通、次のうちどのような職業の人のこと ?,教師,銀行具,公務員,医師,公務員
宇都宮市と浜松市が年間治費量1位の座を争っている食べ物といえば回角,みかん,ラーメン,幅頭,子,子
了週刊少年サンデー』 連載の田島七枝の漫画作品のタイトルは次のうちとれ?,國士無双!!,大三元!,九蓮宝燈!!,四暗刻上!,國士無双!!
LINE株式会往が連営する、会員が情報をひとつのページにまとめるネットサービスは何 ?,QUITEまとめ,EARUYまとめ,NAVERまとめ,AFTERまとめ,NAVERまとめ
様々な街を紹介するテレビ東京の番組『出没! アド街ッツク〇OO〇OO〇』。〇CXうに入る言葉は何 ?,天国,伝説,学校,散歩,天国
ンク リエニジニコン208アン200Eリたコッオスいえば、次のうちどこの国の料理 ?,アメリカ,ブラジル,ドイツ,インド,インド
ボウリングは1ゲーム何フレーム ?2,10フレーム,3フレーム,20フレーム,5フレーム,10フレーム
アニメ『ちびまる子ちゃん』で、主人公のまる子の声を演じている声優は誰 ?,TARAKO,KAZUNOKO,KYABIA,IKURA,TARAKO
アニメ映画 『天空の城ラピュタ」で、シータが身につけたペンダントは何という石でできていた?,火打石,殺生石,金剛石,飛行石,飛行石
ヒトの身体の部位の中で、味を感じる感覚器官は何 ?,古,皮膚,目,耳,古
次のうち、野球のプレーであるものはどれ2,クランクアップ,ドレスアップ,タッチアップ,キャリアアップ,タッチアップ
映画やテレビドラマの脚本を書く作家のことを「何ライター」という2?,アイドル,シナリオ,パソコン,カラオケ,シナリオ
ゴルフで、グリーン上に設けられたホールのことを何という ?,カップ,ボウル,ナイフ,ディッシュ,カップ
次のうち、主に「白癖菌」というカビが原因となる病気はどれ ?,脚気,風邪,水虫,虫歯,水虫
ひとつのコンセントからたくさんのコードを引くことを何という2?,タコ足配線,ヒトデ足配線,クラゲ足配線,イカ足配線,タコ足配線
"『秘密戦際ゴレンジャー』のアカレンジャーの人額には数字が書かれていますが
すが、それはいくつ?",3,],2,4,]
ケバブ・シシカバブー・イスタンブールといえは次のうちどれ2,台湾,トルコ,中国,韓国,トルコ
次のうち、宝石の種類にあるのはどれ 2?,ドイツ石,イタリア石,トルコ石,フランス石,トルコ石
しゃっくりの原因は、人間の体のどこがけいれんすること?,肺,横隔膜,"Eヨ
月",喉,横隔膜
NHK教育テレビの『天才てれびくん』シリーズに出演する子役のことを何という ?,てれび武士,てれび沙士,てれび男士,てれび戦士,てれび戦士
オリンピックにも出場した萩野公介といえば、どんな競技で活躍した元選手?,競泳,柔道,ボクシング,バレーボール,競泳
は あさちっ4たのバクp及っすす,ゾロモン教,ユダヤ教,理道,ヒンドゥー教,ヒンドゥー教
次のうち、鉄道の線路にしかれるものはどれ2?,ドール,シール,レール,カール,レール
名倉潤、原田泰造、堀内健の3人からなる、ワタナベエンターテインメントのお笑いトリオは何 ?,ジュピター,ネプチューン,サターン,ワラヌス,ネプチューン
お笑いコンビ・アンガールズのメンバーといえば、田中卓志と誰 ?,山根良顕,山茎良顕,山花良顕,山葉恨顕,山根良顕
寿司屋で、俗に・「ナミダ」と呼ばれるものは何 ?     」,しょうが,,お酒,わさび,わさび
次の漫画をアルファベット順に並べた時、最初にくるのはどれ?,Kanon,DOG DAYS,Freel!,PSYCHO-PASS,DOG DAYS
グッドイヤー、ミシュラン、ブリヂストンといえば、車のどの部品を作るメーカー ?,"一
こ フー",タダイヤ,ハンドル,シート,タダイヤ
野球で、特定のチームや相手にめっぼう強い選手を指す言葉は次のうちとれ?,セラー,エラフー,キラー,"こ、 一
こ フー",キラー
漫画『名探偵コナン』の次の人物のうち、コナンと同じように薬で体がYEる/のすず/の】た|:性4,族原哀,円谷光彦,小嶋元太,吉田歩美,族原哀
任天堂が発売したゲーム機の名前で、「バーチャル」 「ゲーム」の後に共通してつく単語は何?,マザー,カズン,ボーイ,ガール,ボーイ
次のうち、答えが「15」になる九九の計算はどれ?   -,ほたて,ひとで,うみうし,さんご,さんご
次のうち、ゴールデンボンバーの愛称・略称として正しいものはどれ?,金爆,筋麦,紫縛,桂博,金爆
RPGで使われる用語で、「たたかう」「にげける」といった命令のことを何という ?,アイテム,エンカワウント,ターン,コマンド,コマンド
有名な観光地、サグラダ・ファミリアがある国はどこ?,イタリア,イギリス,フラフランス,スペイン,スペイン
オリンピックで行われるトライアスロンで、ラン (長距離) の距離は何km 2,100km,1km,1000km,10km,10km
次のうち、風邪をひいた時に、発作的に口から出るものはどれ ?,くしゆゅう,くじゃく,くじょう,くしゃみ,くしゃみ
WHOとは何の略?,世界温暖化対策機関,世界保健機関,世界教育機関,世界連易機関,世界保健機関
陸上の走り幅跳びの競技場で、普通、着地地点にあるものは次のうちとれ?,水槽,砂場,クッション,トランボリン,砂場
定住地を持たず、家畜とともに移動しながら牧畜をする民族を何という?,遊牧民,高等遊民,和民,国民,遊牧民
買い物の際、現金を使わずに支払いができる「〇〇〇カード」。〇の〇〇に入る言葉は次のうちどれ?,アルジット,クレジット,イルジット,ヤルジット,クレジット
Ne         と外交本生,アプ           : ノ力昨還導lb、 「,グル,きき虹 ゴーグル,           ベーグル,グル
フジテレビがある場所は?,埼玉県,碧奈川県,千葉県,東京都,東京都
砂漠の王国、アグラバーを舞台としたデテディズニーアニメ作品は何 ?,眠れる森の美女,アラジン,リトル・マーメイド,白雪姫,アラジン
「水金地火木土天海」とは、宇宙に関するどんなものの覚え方?,星のスペクトル,月のクレーター,春の大三角,太陽系の惑性,太陽系の惑性
水に含まれるカルシウムイオンやマグネシウムイオンの量を表す指標は回角,硬度,金度,固度,重度,硬度
日本の標準時を定めるための子午線は、東経何度にひかれている ?,1S50,120,135,165,135
アニメ 『機動戦士メガンダム』。この「Z」は何と読む ?2       -,ゼット,ゼータ,ズータ,ズィー,ゼータ
次のうち、普通、手を挙げて止める乗り物はどれ2,救管車,パトカー,タクシー,レンタカー,タクシー
次のうち、「一本勝ち」という勝ち方があるスポーツはどれ?,相撲,陸上,柔道,野球,柔道
洋風の部屋で、床の上に敷くものは円時,ガーネット,ターゲット,マーケット,カーペット,カーペット
相撲で、2人の力士が立ち上がって勝負を始めることを何という3?,立ち合い,名乗り,"にら
らみ合い",しょっさり,立ち合い
「脱原質」とも呼ばれる、骨や皮慮などに多く含まれるタンパク質は回角,コラーゲン,ボーゲン,ツエーゲン,バーゲン,コラーゲン
次のうち、凍らせてつくるスイーツはどれ2?,ドーナツ,アイスクリーム,ビスケット,ラスク,アイスクリーム
脳下垂体から分泌べされる、骨や筋肉の細胞分像を促進させる効果のあるホルモンは何 ?,成熟ホルモン,発生ホルモン,成長ホルモン,発達ホルモン,成長ホルモン
長田庄生と松尾駿からなる吉本興業有属のお笑いコンビは何2,マヂカルラブリー,トレンディエンジェル,チョコレートプラネット,フルーツポンチ,チョコレートプラネット
