次のうち、パソコンに良い有影響をもたらすものはどれ2?        「,デフラグ,ウィルス,ブラクラ,バク,デフラグ
サッカーの競技場で、監督が選手に指示を出すための場所を何エリアという ?,ペナルティエリア,バイタルエリア,テクニカルエリア,サービスエリア,テクニカルエリア
小説『審剤』 や『変身』を書いた、チェコの作家は誰2,チャペック,バルザック,カフカ,ウェルズ,カフカ
様々なスポーツの国際大会の公式球を製造する、広島県に本往を置く企業は何 ?,モルワン,モルテン,モルエイト,モルセブン,モルテン
物質1molの中に含まれる構成物質の総数のことを、ある化学者の名前から何という ?,アボガドロ定数,アインシュタイン定数,ニュートン定数,ボルツマン定数,アボガドロ定数
次のうち、「ジェネリック医薬品」の別名はどれ?              「       -,後発医楽品,君発医楽品,先発医薬品,始発医薬品,後発医楽品
アニメ 「サザエさん』で、波邊とフネの間には子どもは何人いる ?,2人,1人,3人,4人,3人
一般に「虫歯上」と呼ばれる、中歯の主な原因とされている菌は何 ?,ボツリヌス菌,ブドウ球菌,ミュータンス菌,セレウス菌,ミュータンス菌
名門の聖プレジデント学園を舞台にした一条ゆかりの漫画は『何倶楽部』 ?,胡華倶楽部,有閑倶楽部,費沢倶楽部,王族倶楽部,有閑倶楽部
次のうち、最も面積の広い都道府県はどれ2?    「     「,山形県,長野県,京都府,兵庫県,長野県
著書『女医の花道』 でも知られる、バラエティ番組でタレントとしても活躍する医師は誰 ?,勝問和代,多原博子,おおたわ絵,室井佑月,おおたわ絵
バンクーバー五輪の男子フィギュアスケートで銅メダルを獲得したのは次のうち誰?,小塚宗彦,高橋大輔,高橋由伸,織田信成,高橋大輔
逸鎖美術館、国立国際美術館、吹田市立博物館がある都道府県はどこ ?,東京都,北海道,大阪府,忠岡県,大阪府
漫画『あたしンち』に登場する立花家は何人家族2,3人家族,5人家族,6人家族,4人家族,4人家族
イタリアで製作された西部劇のことを表す言葉といえば〇〇〇ウェスタン ?,ラザニア,テイィイフミス,スパゲッティ,マカロニ,マカロニ
油医師の免許を交付するのは何大臣 2           「,農林水産大臣,文部科学大臣,経済産業大臣,国土交通大臣,農林水産大臣
ウィルト・チェンバレンが記録 した、NBAにおける、個人の1試合歴代最多得点はいくつ?,200点,500点,100点,300点,100点
1915年に日本が中華民国に対して突きつけたのは「何ヶ条の要求」 ?,31ヶ条,11ヶ条,21ヶ条,41ヶ条,21ヶ条
頭は銀、体は人間というビジュアルが話題の日本のロックバンドは 2?2,GIRL WITH A MISSION,BOY WITH A MISSION,MAN WITH A MISSION,WOMAN WITH A MISSION,MAN WITH A MISSION
中国・唐の詩人、杜審言の詩で、「天高く馬肥ゆる」と詠われている季還はいつ?,夏,冬,秋,春,秋
「まいやん」の愛称で呼ばれる、元乃木坂46のメンバーは誰 ?,大島麻衣,禄木及衣,日石麻衣,星村麻衣,日石麻衣
次のうち、アジサイの色を決める要央と考えられているのはどれ?,その年の梅雨の長さ,土壌の酸性度,空気中の酸素濃度,日中の最高気温,土壌の酸性度
篠原涼子や穴井タ子らがかつて所属していた「東京つつ〇ドール」。〇CXうに入る言葉は何 ?,パフォーマンス,ガールズ,エレガント,スーパー,パフォーマンス
取っ手や注ぎ口のついた和風の鍋のことをなんという 2   「,業在鍋,寺在鍋,金邊鋼,,寺在鍋
鉄道運転シミュレーションゲーム『電車でGO!』を開発しているメーカーはどこ2,カプコン,バンダイナムコ,タイトー,セガサミー,タイトー
ファッション用語「ディテール」とはどういう意味?,ギザギザ,重ねる,細部,取り外し可能,細部
次の任天堂の商品のうち、キーボードがセットにして販売されていたものはどれ?,ワイルドガンマン,ジャイロ,ファミリーベーシック,ロボット,ファミリーベーシック
著書『天体力学』」で知られる、星填説の提唱で有名なフランスの数学者・天文学者は誰 ?,イワーク,カビゴン,ラプラス,ガルーラ,ラプラス
リチウム電池の負極に用いられている金属は何 ?,LI,Le,Re,RI,LI
Apple往が発売するiMacやMacbookとは、どんなものの商品名 ?,携帯電話,掃除機,パソコン,音楽プレイヤー,パソコン
眼球の約7割を占める、水晶体の後方にあるゼリー状の組織は何 ?,園糸体,硝子体,核小体,ゴルジ体,硝子体
次のうち、美術で、作品に使われる様々な対象物を指すフランス語はどれ?,ペイント,キャンバス,ドローイング,オブジェ,オブジェ
アルファベット]1文字では「f」と表す、接触する物体間でのみ働く力は何?,重力,摩擦力,静電気力,磁力,摩擦力
「太陽戦際サンバルカン』で、バルレガ骨し37太りの】ちの)p朋の誰 ?,大落能介,嵐山大三郎,釣朝夫,餅島克也,大落能介
東海道新野線開業当時、その早さから呼ばれたニックネームとは2?,弾丸の超特急,夢の超特管,憧れの超特急,音速の超特急,夢の超特管
野球で、ピッチャーの勝利数争いのことを何という ?2  ーー,クイズダービー,ハーラーダービー,ケンタッキーダービー,ホームランダービー,ハーラーダービー
元々の意味は「乗合馬車」。いくつかの短編を集めた映画のことを何という ?,オムニバス,ユニットバス,ワンマンバパス,コントラバス,オムニバス
次のうち、毎年10月に京都で行われる祭りはどれ2 。  ー,,時代祭,ねぶた,三征祭,時代祭
アイスホッケーの試合開始のことを何という ?      ーー,キックオフ,シュートオフ,プレイボール,フェイスオフ,フェイスオフ
秋山兄弟と正岡子規の姿を中心に描いた、司馬遼太郎の小説は何 ?,坂の上のポニョ,坂の上の雲,崖の上の雲,崖の上のポニョ,坂の上の雲
歌舞伎で、若い女性役を演じる役者のことを何という 2      「,おうみ,おやま,おかわ,おたに,おやま
実写映画版では阿部寛が演じた、漫画『テルマエ・ロマエ』 の主人公の名前は何 ?,ルシウス,ハドリアヌス,ケイオニウス,マルクス,ルシウス
コント「ダンソン」が有名な、藤田ユウキと石山タオルのお笑いコンビは何 ?,クマムン,日本エレキテル連合,バンビーノ,8.6秒バズーカー,バンビーノ
日本の法律で、パチンコができるのは何歳から?,15歳,12歳,18歳,20歳,18歳
テニスで、ボールがコート内の決められた範囲外に出ることを指す言葉は次のうちとどれ?,イン,アウト,アップ,ダウン,アウト
『ストリートファイターII」 で、「ヨガフレイム」などの技を出すのに誰 ?,春塵,ザンギエフ,ガイル,ダルシム,ダルシム
ラン ga【ひと21:Uy。ugp1AY/cN「W」の形をした星座は何 ?,ケフェウス座,カシオペヤ座,オリオン座,アンドロメダ座,カシオペヤ座
新坦結衣がテレビ番組のディレクター役を演じた、ドラマのタイトルは何?,空飛ぶ給湯室,空飛ぶ往長室,空飛ぶ会議室,空飛ぶ広報室,空飛ぶ広報室
「腐ったミカン」という台詞も話題になった、かつて放送されたTBSのドラマシリーズは何 ?,ふぞろいの林檎たち,北の国から,ひとつづつ屋根の下,3年B組金八先生,3年B組金八先生
相撲の組み方を指す「右〇〇〇」「左つつOO〇」「けんか〇OO〇OO〇」の〇のCx)うに共通して入る語は何 ?,ーつ,九つ,四つ,七つ,四つ
世界三大夜景」にも数えられる夜景で有名な、イタリア・カンパニア州の州都はどこ ?,アテネ,ニース,カイロ,ナポリ,ナポリ
"本国憲法第49条の規定に基づ
誤ついて、国庫から支給される国会議員の給料を何という ?",議費,償費,法費,歳費,歳費
プロレスのタッグマッチなどてで、2人のレスラーが協力して技を繰り出すことを何という ?,ツーアルキメデス,ツーアリストテレス,ツーソクラテス,ツープラトン,ツープラトン
次のうち、アニメ 『機動戦士ガンダムSEED』の略称はどれ2?,種ガン,岩ガン,外ガン,道ガン,種ガン
次のうち、県庁所在地となっていない都市はどれ?,青森市,広島市,千葉市,沖縄市,沖縄市
次のなチノ/イバク半還るやる,ング だ 還 pmあ,上,mn 本 (上BW,人\ 電識,ング だ 還 pmあ
渡辺道明の漫画『ハーメルンのCC.選き』。〇〇に入るのは何 2    「,ピアノ,チェンバロ,バイオリン,ハープ,バイオリン
スペインのサッカー、リーガ・エスパニョーラのクラブ「A・マドリード」の「A」は何の略 ?,アサイラム,アトレティコ,アタック,アテンション,アトレティコ
かつて佐藤可士和や中谷彰宏も勤務していた大手広告代理店はどこ ?,任天堂,博報堂,三省堂,資生室,博報堂
矢上裕の漫画『〇つ〇を狩るモノたち』〇つつに入るのは何2     -,エルフ,ゴーレム,コボルト,シーフ,エルフ
次のうち、「ゴールデンウィーク」期間中にある訪日はどれ ?   -,副法記念日,元旦,勤労感謝の日,建国記念の日,副法記念日
発表されたのが最も古いシューティングゲームのは、次のうちどれ?,笛 叫,ゼビウス,怒自領蜂,アフターバーナー,ゼビウス
京浜工業地帯の「京浜」とは、東京とどこのこと2    「,"に
7
横 Ww",千葉,川崎,茨城,"に
7
横 Ww"
