Q,Category,K1,K2,K3,K4,A
iaレルウンクンで攻39セたンシルンターが登場する鳥山明の漫画は何 ?,アニメゲーム,ウイングマン,キャプテン胃,キン肉マン,Drスランプ,Drスランプ
ドラマ「『相棒』で、寺脇康文、及川光博に続く3代目の相棒役を務めていたのは誰 ?,芸能,向井理,成宮寛貴,オダギリジョー,水嶋ヒロ,成宮寛貴
「お造り」といえば、どんな料理のこと2,雑学,寿可,漬物,刺身,,刺身
東京のドン・キホーテ秋葉原店の8階に専用劇場を構えるアイドルグループといえば何 ?,芸能,AKB48,SKE48,HKT48,NMB48,AKB48
「夢の超人タッグ編」といえば、何という漫画の中のシリーズ ?  「,アニメゲーム,秀近戯交王,SLAM DUNK,ONE PIECE,キン肉マン,キン肉マン
漫画家のアシスタントを務める浪川睦を主人公とする、タアモの温画は回角,アニメゲーム,姉の結婚,アシさん,海街diary,さんすぐくみ,アシさん
洋服で、裏表両面で着られるデザインのものを何という2?,雑学,リハーサル,リバイバル,リバーシブル,リバウンド,リバーシブル
書道の墨をすらずに済む代用品の名EE                           「,文系,青汗,墨汁,お汁粉,レモン汁,墨汁
歌手のマイケル、俳優のクルーニー、映画監督のルーカスに共通するファーストネームは何 ?,芸能,ジョージ,スティーブン,トーマス,ロバート,ジョージ
病院の「緊愛外来」のことを、アルファベット2文字で何という ?,理系,EZ,ER,ET,EX,ER
次のうち、出演作がどれもヒットするような俳優を指す言葉はどれ ?,芸能,リラ箱スター,ドル箱スター,ユーロ箱スター,元箱スター,ドル箱スター
ジュール・ヴェルヌ、アントワーヌ・ド・サン=テテグジュペリといえばどこの国の作家 ?,文系,オーストラリア,フフンス,ブラジル,カナダ,フフンス
次のうち、Zoff、JINS、愛眼が主力各品として取り扱っているアイテムは何 ?,雑学,メガネ,ブローチ,マニキュア,ネックレス,メガネ
三重県にある、F1日本グランプリが開催されるサーキット場は何?,スポーツ,四日市サーキット,釣鹿サーキット,亀山サーキット,津サーキット,釣鹿サーキット
チンギス・ハンやフビライ・ハンが皇再となって治めた帝国はどこ2?,文系,ムガール帝国,インカカ帝国,モンゴル帝国,アステカ帝国,モンゴル帝国
「筋肉番付』から派生して生まれた、100人がアスレチックに挑むTBSの特番といえば何 ?,芸能,HANZOU,HATTORI,SARUTOBI,SASUKE,SASUKE
板の上に立ってバランスを取り、波に乗るスポーツは何 ?,スポーツ,カヌー,サーフィン,ダイビング,ヨット,サーフィン
胆のうや尿管などに生じる、石のようなかたまりを何という ?,理系,了石,宝石,化石,結石,結石
漫画『こちら葛飾区亀有公園前派出所』の主人公、両さんのフルネームは「両津何」 ?,アニメゲーム,速人,基吉,大次郎,"主-ー
二",基吉
氷尾まるの漫画『猫絵十兵衛 御伽草紙』の舞台となっているのは何時代 ?,アニメゲーム,弥生時代,在安時代,明治時代,江戸時代,江戸時代
漬物のたくあん漬け、べったら漬けに用いられる野楽は何 ?,雑学,カブ,大根,ニンジン,日楽,大根
音楽グループ、いきものがかりのボーカルは誰 ?,芸能,持田香織,椎名林槍,吉田美和,吉岡聖恵,吉岡聖恵
漫画『からくりサーカス』で、加藤鳴海がかかったのは、人をどうしないと死んでしまう病気 ?,アニメゲーム,泣かせる,甘らせる,笑わせる,穴らせる,笑わせる
「世界の果てまでイッテQ!I』や『距る ! さんま物殿!!』 などの番組を放和送しているテレビ局はどこ ?,芸能,テレビ朝日,日本テレビ,フジテレビ,NHK,日本テレビ
次のサッカー代表チームのうち、地理的にはイギリスに属するものはとれ?,スポーツ,ラップランド代表,フィンランド代表,ニュージーランド代表,スコットランド代表,ラップランド代表
テニスボールの色は、普通、何色 ?,スポーツ,赤色,緑色,黄色,青色,黄色
漢方」とは、どこの国から日本に伝わった医学 ?  「,理系,タイ,インド,韓国,中国,中国
毎年11月の第3木曜日に販売が解禁される、フランス産のガメイ種の赤ワインといえば何 ?,雑学,ボジョレー・ヌーボー,アール・ヌーボー,ジェルマン・ヌーボー,グータン・ヌーボー,ボジョレー・ヌーボー
佐野茶見の漫画『坂本ですが〇』 の〇に入るマークは何 ?,アニメゲーム,,?,ーー,J,?
室町幕府の第8代将軍・足利義政によって建てられた、山号を「東山」の:ちりゴたる円肝。,文系,昭閣寺,鉄閣寺,銅閣寺,銀閣寺,銀閣寺
「門松は冥土の旅の一里塚」という言葉をのこした、室町時代の臨済宗の』にと:半4,文系,四休,一休,三休,二休,一休
ことわざ「男は度胸、女は〇〇」。CXうに入る言葉は何 ?,文系,勉強,未教,仕偽,愛巡,愛巡
風がやんで、海がおだやかになることを何という?,理系,ふち,しけ,なぎ,とろ,なぎ
"気象用語では填量
は雲量が9以上である状琵を指す、空の大部分を雲が義った天気を何という?",理系,とちり,かげり,はやり,くもり,くもり
ボウリングで、1投目で1番ピンを倒せないことを何という ?,スポーツ,ノープロブレム,ノーコメント,ノーリターン,ノーヘッド,ノーヘッド
次のうち、着物の生地になる繊物にあるのはどれ2?      「,雑学,つむじ,つむぎ,つむり,つむる,つむぎ
漫画『うる星やつら』で、ラムのビネキォニの柄はどれ?,アニメゲーム,水玉,虎縮,無地,チェック,虎縮
次のうち、中国料理にあるのはどれ 2?,雑学,ビピーフン,ビーコン,ビーワン,ビートン,ビピーフン
傷口が治るにしたがってできる、皮の膜を何という ?,理系,かさぶた,とじぶた,いのぶた,なべぶた,かさぶた
将棋で使う駒の中で、最も枚数が多いものは何 ?,雑学,香車,,桂馬,歩兵,歩兵
アニメ『北斗の挙』で、主人公・ケンシロウの声を演じた声優は誰 ?,アニメゲーム,紳谷明,古川登志夫,古谷徹,ニツ矢雄二,紳谷明
漫画 リテニスの王子様』の主人公である、帰国子女の少年の名前は何 ?,アニメゲーム,橘枯在,不二裕太,越前リョーマ,千石清純,越前リョーマ
約150億年前に起こったとされる、宇宙の始まりとなった大爆発のことを何という ?,理系,ビッグバン,ビッグブン,ビッグビン,ビッグベン,ビッグバン
コケから得られる紫色の染料で、化字の実験では指示楽として用いられるものは何 ?,理系,リトサケ,リトアユ,リトタイ,リトマス,リトマス
は 凍IaにEコミニ8KG志村けんが歌った、東京都のご当地ソングは何 ?,芸能,西村山音頭,東村山音頭,南村山音頭,北村山音頭,東村山音頭
「青い目の大君」の異名をもつ、元GHQ総司令官であるアメリカの軍人は誰 ?,文系,マックローサー,マッカーサー,マッキーサー,マッサオーサー,マッサオーサー
山で大声を出した時などに起こる、声が反統して返ってくる現象を何という ?,雑学,やまにし,やまさきさ,やまもと,やまびこ,やまびこ
「KPOP」のKが指す国は何 ?,芸能,カナダ,コートジボワール,クロアチア,韓国,韓国
ゴレ島や原爆ドームなど、悲惨な出来事を後世に伝える世界遺産を一般に何という ?,文系,間の世界遺産,負の世界遺産,死の世界遺産,悪の世界遺産,負の世界遺産
次のうち「大外刈り」、「大内刈り」という技がある競技はどれ ?2,スポーツ,ボクシング,体操,ハンドボール,柔道,柔道
柔道で、黒帯を締めるのは何段から ?,スポーツ,初段,三段,四段,二段,初段
アメリカの国旗に描かれている星の数はいくつ?,文系,10個,50個,5個,100個,50個
次のうち、「プレイボール」で試合が始まるスポーツはどれ?,スポーツ,駅伝,フィギュアスケート,ソフトボール,フェンシング,駅伝
ドラマ 『出入禁止の〇』『京都地検の〇』 『科捜研の〇』の〇に共通すとを:ちゃ 閉4,芸能,"=ニー
呈",風,女,軍,女
月曜に登板した野球の投手。中4日だと、次に投げるのは何曜日 ?,スポーツ,日曜日,土曜日,火曜日,水曜日,土曜日
2年以上連続して凍結した状態にある土壌のことを何という ?,文系,純粋凍土,一瞬凍土,永久凍土,一般凍土,永久凍土
日本一高い山である富士山は、どことどこの都道府県の境界にある ?,文系,熊本県と大分県,秋田県と岩手県,山梨県と静岡県,徳島県と高知県,山梨県と静岡県
工業的に重要な「レアメタル」の「メタル」とはどういう物質 ?,理系,金属,織物,木材,磁器,金属
央語でお風呂を意味する言葉はどれ 2?,雑学,タクシー,トラック,バス,ダンプ,バス
「理研」と略される、文部科学省所官の自然科学系総合研究所は何 ?,理系,理科系研究所,理科総合研究所,理数研究所,理化学研究所,理化学研究所
上野動物園の人気者、中国原産の動物は何 ?          「,雑学,ホンダ,ワンダ,カンダ,パンダ,パンダ
寿司屋で出される、ショウガの人甘酢漬けのことを何という?,雑学,ナミダ,ツメ,アガリ,ガリ,ガリ
IEのた:間が:当還ひだたんの)と=た円7     -,アニメゲーム,日向翔陽,磯部磯兵衛,黒子テツヤ,坂田銀時,坂田銀時
フジテレビの番組『ネプリーグ』のの1のリピコン陸生の(つうは何 ?,芸能,セブン,ナイン,スリー,ファイブ,ファイブ
バドミントンで使う羽根のついた玉は何 ?          ー,スポーツ,シャトルコック,フライ,スペースシャトル,弥子,シャトルコック
次のうち、シーラカンスなど、 古代から形状を変えずに残った生物を指まま:ヨちず<ル 果/,理系,生きた標本,生きた記憶,生きた歴史,生きた化石,生きた化石
「料理のさしすせそ」に含まれない調味料は次のどれ?2,雑学,胡概,酢,塩,砂糖,胡概
お笑いコンビ、ハライチのメンバーといえばはば、岩井勇気と誰 ?,芸能,岩崎う大,中田敦彦,矢部浩之,津部佑,津部佑
